판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2021-08-31,13?일,?더 SUV 스포티지 디젤 2.0 2WD 프레스티지 [무],오토,2017.09,경유,"158,729",흰색,"1,330",옵션
,,,,[ 2018 ],,,,,
2021-08-31,13?일,?더뉴쏘렌토 디젤 2.0 2WD 노블레스 [무],오토,2019.06,경유,"46,000",다크그레이,"2,640",옵션
,,,,[ 2020 ],,,,,
2021-08-31,12?일,?카고(3.5~4톤) 마이티3.5톤 올뉴마이티 [무],수동,2018.07,경유,"106,258",흰색,"4,500",옵션
,,,,[ 2018 ],,,,,
2021-08-31,13?일,?뉴SM5(신형) XE,오토,2012.04,휘발유,"140,000",검정색,369,옵션
,,,,[ 2012 ],,,,,
2021-08-31,12?일,?SM5뉴임프레션 LPLI 장애우용 LE,오토,2007.10,LPG,"202,553",검정색,190,옵션
,,,,[ 2007 ],,,,,
2021-08-31,12?일,?레이 프레스티지,오토,2012.02,휘발유,"58,528",쥐색,680,옵션
,,,,[ 2012 ],,,,,
2021-08-31,12?일,?에쿠스(신형) VS460 프레스티지,오토,2009.12,휘발유,"328,872",검정색,499,옵션
,,,,[ 2009 ],,,,,
2021-08-31,11?일,?SM7 2.3 SE [무],오토,2006.01,휘발유,"85,668",검정색,219,옵션
,,,,[ 2006 ],,,,,
2021-08-31,11?일,?아반떼MD M16GDI PREMIER,오토,2011.11,휘발유,"89,650",흰색,10,옵션
,,,,[ 2012 ],,,,,
2021-08-31,11?일,?더뉴아반떼AD 1.6 스마트 초이스 [무],오토,2020.03,휘발유,"27,738",흰색,"1,659",옵션
,,,,[ 2020 ],,,,,
2021-08-31,12?일,?뉴라보 STD [무],수동,2013.05,LPG,"109,444",청색,360,옵션
,,,,[ 2013 ],,,,,
2021-08-31,8?일,?아반떼MD M16GDI DELUXE,오토,2010.10,휘발유,"146,568",흰색,650,옵션
,,,,[ 2011 ],,,,,
2021-08-31,8?일,?베리 뉴 티볼리 가솔린 1.5 2WD V5 [무],오토,2019.10,휘발유,"28,987",흰색,"91,799",옵션
,,,,[ 2020 ],,,,,
2021-08-31,8?일,?포터2 파워게이트 초장축 슈퍼캡(CRDI) 스마트 [무],오토,2021.04,경유,"6,000",흰색,"2,250",옵션
,,,,[ 2021 ],,,,,
2021-08-31,8?일,?그랜저HG HG240 MODERN [무],오토,2015.06,휘발유,"73,357",검정색,1,옵션
,,,,[ 2016 ],,,,,
2021-08-31,8?일,?더 SUV 스포티지 디젤 2.0 4WD 트렌디 [무],오토,2015.12,경유,"93,000",흰색,"1,150",옵션
,,,,[ 2016 ],,,,,
2021-08-31,7?일,?K7 프리미어 3.0 GDI [무],오토,2019.08,휘발유,"23,441",진주색,"3,730",옵션
,,,,[ 2020 ],,,,,
2021-08-31,7?일,?봉고3트럭 1톤 초장축 킹캡 CRDi [무],수동,2009.11,경유,"183,600",흰색,400,옵션
,,,,[ 2010 ],,,,,
2021-08-31,7?일,?뉴A6 35 TDI [무],오토,2015.10,경유,"26,000",흰색,"2,790",옵션
,,,,[ 2016 ],,,,,
2021-08-31,7?일,?레이 디럭스,오토,2012.03,휘발유,"151,072",흰색,470,옵션
,,,,[ 2012 ],,,,,
2021-08-31,6?일,?프리우스 1.8 [무],오토,2009.10,휘발유 하이브리드,"171,786",은색,1,옵션
,,,,[ 2010 ],,,,,
